speaker,title,topic,year,month,link
Dieter F. Uchtdorf,The Merciful Obtain Mercy, love,04,2012,https://www.churchofjesuschrist.org/general-conference/2012/04/the-merciful-obtain-mercy?lang=eng
J. Devn Cornish,The Privilege of Prayer, love,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/the-privilege-of-prayer?lang=eng
Kazuhiko Yamashita,Missionaries Are a Treasure of the Church, love,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/missionaries-are-a-treasure-of-the-church?lang=eng
Dieter F. Uchtdorf,Forget Me Not, love,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/forget-me-not?lang=eng
Dieter F. Uchtdorf,Providing in the Lord’s Way, love,10,2011,https://www.churchofjesuschrist.org/general-conference/2011/10/providing-in-the-lords-way?lang=eng
Silvia H. Allred,The Essence of Discipleship, love,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/the-essence-of-discipleship?lang=eng
Richard G. Scott,The Eternal Blessings of Marriage, love,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/the-eternal-blessings-of-marriage?lang=eng
Henry B. Eyring,Opportunities to Do Good, love,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/opportunities-to-do-good?lang=eng
M. Russell Ballard,Finding Joy through Loving Service, love,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/finding-joy-through-loving-service?lang=eng
Walter F. González,Followers of Christ, love,04,2011,https://www.churchofjesuschrist.org/general-conference/2011/04/followers-of-christ?lang=eng
Juan A. Uceda,He Teaches Us to Put Off the Natural Man, love,10,2010,https://www.churchofjesuschrist.org/general-conference/2010/10/he-teaches-us-to-put-off-the-natural-man?lang=eng
Koichi Aoyagi,"Helping Hands, Saving Hands", love,04,2010,https://www.churchofjesuschrist.org/general-conference/2010/04/helping-hands-saving-hands?lang=eng
Bradley D. Foster,Mother Told Me, love,04,2010,https://www.churchofjesuschrist.org/general-conference/2010/04/mother-told-me?lang=eng
Dieter F. Uchtdorf,“You Are My Hands”, love,04,2010,https://www.churchofjesuschrist.org/general-conference/2010/04/you-are-my-hands?lang=eng
David A. Bednar,More Diligent and Concerned at Home, love,10,2009,https://www.churchofjesuschrist.org/general-conference/2009/10/more-diligent-and-concerned-at-home?lang=eng
